Country Name,Country Code,Series Name,Years,Values
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),1975,0
Albania,ALB,Mobile cellular subscriptions (per 100 people),1975,0
Albania,ALB,Electric power consumption (kWh per capita),1975,739.345093272667
Algeria,DZA,Mobile cellular subscriptions (per 100 people),1975,0
Algeria,DZA,Electric power consumption (kWh per capita),1975,207.288968986764
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),1975,0
Andorra,AND,Mobile cellular subscriptions (per 100 people),1975,0
Angola,AGO,Mobile cellular subscriptions (per 100 people),1975,0
Angola,AGO,Electric power consumption (kWh per capita),1975,143.067014840244
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),1975,0
Argentina,ARG,Mobile cellular subscriptions (per 100 people),1975,0
Argentina,ARG,Electric power consumption (kWh per capita),1975,1011.66776499765
Armenia,ARM,Mobile cellular subscriptions (per 100 people),1975,0
Aruba,ABW,Mobile cellular subscriptions (per 100 people),1975,0
Australia,AUS,Mobile cellular subscriptions (per 100 people),1975,0
Australia,AUS,Electric power consumption (kWh per capita),1975,4781.61664147412
Austria,AUT,Mobile cellular subscriptions (per 100 people),1975,0
Austria,AUT,Electric power consumption (kWh per capita),1975,3734.44547317732
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),1975,0
"Bahamas, The",BHS,Mobile cellular subscriptions (per 100 people),1975,0
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),1975,0
Bahrain,BHR,Electric power consumption (kWh per capita),1975,2471.37616816656
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),1975,0
Bangladesh,BGD,Electric power consumption (kWh per capita),1975,15.554686211436
Barbados,BRB,Mobile cellular subscriptions (per 100 people),1975,0
Belarus,BLR,Mobile cellular subscriptions (per 100 people),1975,0
Belgium,BEL,Mobile cellular subscriptions (per 100 people),1975,0
Belgium,BEL,Electric power consumption (kWh per capita),1975,3887.47742508188
Belize,BLZ,Mobile cellular subscriptions (per 100 people),1975,0
Benin,BEN,Mobile cellular subscriptions (per 100 people),1975,0
Benin,BEN,Electric power consumption (kWh per capita),1975,17.1242468596598
Bermuda,BMU,Mobile cellular subscriptions (per 100 people),1975,0
Bhutan,BTN,Mobile cellular subscriptions (per 100 people),1975,0
Bolivia,BOL,Mobile cellular subscriptions (per 100 people),1975,0
Bolivia,BOL,Electric power consumption (kWh per capita),1975,184.524146678011
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions (per 100 people),1975,0
Botswana,BWA,Mobile cellular subscriptions (per 100 people),1975,0
Brazil,BRA,Mobile cellular subscriptions (per 100 people),1975,0
Brazil,BRA,Electric power consumption (kWh per capita),1975,649.054844256246
British Virgin Islands,VGB,Mobile cellular subscriptions (per 100 people),1975,0
Brunei Darussalam,BRN,Mobile cellular subscriptions (per 100 people),1975,0
Brunei Darussalam,BRN,Electric power consumption (kWh per capita),1975,1511.98835958752
Bulgaria,BGR,Mobile cellular subscriptions (per 100 people),1975,0
Bulgaria,BGR,Electric power consumption (kWh per capita),1975,3035.63618783814
Burkina Faso,BFA,Mobile cellular subscriptions (per 100 people),1975,0
Burundi,BDI,Mobile cellular subscriptions (per 100 people),1975,0
Cabo Verde,CPV,Mobile cellular subscriptions (per 100 people),1975,0
Cambodia,KHM,Mobile cellular subscriptions (per 100 people),1975,0
Cameroon,CMR,Mobile cellular subscriptions (per 100 people),1975,0
Cameroon,CMR,Electric power consumption (kWh per capita),1975,176.149636615331
Canada,CAN,Mobile cellular subscriptions (per 100 people),1975,0
Canada,CAN,Electric power consumption (kWh per capita),1975,10466.5826249742
Cayman Islands,CYM,Mobile cellular subscriptions (per 100 people),1975,0
Central African Republic,CAF,Mobile cellular subscriptions (per 100 people),1975,0
Chad,TCD,Mobile cellular subscriptions (per 100 people),1975,0
Chile,CHL,Mobile cellular subscriptions (per 100 people),1975,0
Chile,CHL,Electric power consumption (kWh per capita),1975,725.760875238566
China,CHN,Mobile cellular subscriptions (per 100 people),1975,0
China,CHN,Electric power consumption (kWh per capita),1975,199.039715406566
Colombia,COL,Mobile cellular subscriptions (per 100 people),1975,0
Colombia,COL,Electric power consumption (kWh per capita),1975,468.372959553378
Comoros,COM,Mobile cellular subscriptions (per 100 people),1975,0
"Congo, Dem. Rep.",COD,Mobile cellular subscriptions (per 100 people),1975,0
"Congo, Dem. Rep.",COD,Electric power consumption (kWh per capita),1975,166.36910632554
"Congo, Rep.",COG,Mobile cellular subscriptions (per 100 people),1975,0
"Congo, Rep.",COG,Electric power consumption (kWh per capita),1975,62.6908382871388
Costa Rica,CRI,Mobile cellular subscriptions (per 100 people),1975,0
Costa Rica,CRI,Electric power consumption (kWh per capita),1975,731.58412572352
Cote d'Ivoire,CIV,Mobile cellular subscriptions (per 100 people),1975,0
Cote d'Ivoire,CIV,Electric power consumption (kWh per capita),1975,119.239165579667
Croatia,HRV,Mobile cellular subscriptions (per 100 people),1975,0
Cuba,CUB,Mobile cellular subscriptions (per 100 people),1975,0
Cuba,CUB,Electric power consumption (kWh per capita),1975,620.482068785532
Curacao,CUW,Electric power consumption (kWh per capita),1975,4640.2778802245
Cyprus,CYP,Mobile cellular subscriptions (per 100 people),1975,0
Cyprus,CYP,Electric power consumption (kWh per capita),1975,1014.5509967319
Czechia,CZE,Mobile cellular subscriptions (per 100 people),1975,0
Czechia,CZE,Electric power consumption (kWh per capita),1975,4031.26870286381
Denmark,DNK,Mobile cellular subscriptions (per 100 people),1975,0
Denmark,DNK,Electric power consumption (kWh per capita),1975,3414.5200007431
Djibouti,DJI,Mobile cellular subscriptions (per 100 people),1975,0
Dominica,DMA,Mobile cellular subscriptions (per 100 people),1975,0
Dominican Republic,DOM,Mobile cellular subscriptions (per 100 people),1975,0
Dominican Republic,DOM,Electric power consumption (kWh per capita),1975,410.55913716004
Ecuador,ECU,Mobile cellular subscriptions (per 100 people),1975,0
Ecuador,ECU,Electric power consumption (kWh per capita),1975,192.743976013209
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions (per 100 people),1975,0
"Egypt, Arab Rep.",EGY,Electric power consumption (kWh per capita),1975,238.197353298147
El Salvador,SLV,Mobile cellular subscriptions (per 100 people),1975,0
El Salvador,SLV,Electric power consumption (kWh per capita),1975,211.627422157148
Equatorial Guinea,GNQ,Mobile cellular subscriptions (per 100 people),1975,0
Eritrea,ERI,Mobile cellular subscriptions (per 100 people),1975,0
Estonia,EST,Mobile cellular subscriptions (per 100 people),1975,0
Eswatini,SWZ,Mobile cellular subscriptions (per 100 people),1975,0
Ethiopia,ETH,Mobile cellular subscriptions (per 100 people),1975,0
Ethiopia,ETH,Electric power consumption (kWh per capita),1975,16.9276466359754
Faroe Islands,FRO,Mobile cellular subscriptions (per 100 people),1975,0
Fiji,FJI,Mobile cellular subscriptions (per 100 people),1975,0
Finland,FIN,Mobile cellular subscriptions (per 100 people),1975,0
Finland,FIN,Electric power consumption (kWh per capita),1975,5946.37732837519
France,FRA,Mobile cellular subscriptions (per 100 people),1975,0
France,FRA,Electric power consumption (kWh per capita),1975,3250.27272170231
